Hi.	مرحبًا.
Run!	اركض!
Help!	النجدة!
Jump!	اقفز!
Stop!	قف!
Go on.	داوم.
Go on.	استمر.
Hello!	مرحباً.
Hurry!	تعجّل!
Hurry!	استعجل!
I see.	انا اري
I won!	أنا فُزت!
Relax.	استرح.
Smile.	ابتسم.
Cheers!	في صحتك.
Got it?	هل فهمت؟
He ran.	ركض.
I know.	أعرف.
I know.	أعلم ذلك.
I know.	أنا أعلم
I'm 19.	أنا في 19
I'm OK.	أنا بخير.
Listen.	استمع
No way!	غير معقول!
Really?	حقاً؟
Thanks.	شكرا.
Why me?	لماذا أنا؟
Awesome!	رائع!
Be cool.	خذ راحتك.
Call me.	هاتفني.
Call me.	اتصل بي.
Come in.	تفضل بالدخول.
Come in.	تعال إلى الداخل
Come on!	بالله عليك!
Come on!	هيا
Come on!	هيّا
Get out!	اخرج من هنا!
Get out!	أُخرج!
Get out.	اخرج!
Go away.	اتركني و شأني.
Go away.	اذهب بعيداً.
Go away.	ارحل.
Goodbye!	مع السلامة.
He came.	لقد أتى.
He runs.	هو يجري
Help me!	ساعدني!
Help me.	النجدة! ساعدني!
I'm sad.	أنا حزين.
Me, too.	أنا أيضاً.
Shut up!	اخرس!
Shut up!	اصمت!
Shut up!	اسكت!
Shut up!	أغلق فمك!
Stop it.	أوقفه
Take it.	خذه
Tell me.	أخبرني
Tom won.	توم فاز.
Tom won.	لقد ربح توم.
Wake up!	استيقظ!
Welcome.	أهلاً و سهلاً!
Welcome.	مرحباً بك!
Welcome.	اهلا وسهلا
Welcome.	مرحبا!
Who won?	من فاز؟
Who won?	من الذي ربح؟
Why not?	لم لا؟
Why not?	لما لا؟
Have fun.	استمتع بوقتك.
Hurry up.	أسرع!
I forgot.	لقد نسيت.
I got it.	فهمتُهُ.
I got it.	فهمتُها.
I got it.	فَهمتُ ذلك.
I use it.	أستخدمه.
I'll pay.	سأدفع أنا.
I'm busy.	أنا مشغول.
I'm busy.	إنني مشغول.
I'm cold.	أشعر بالبرد.
I'm free.	أنا حُرّ.
I'm here.	أنا هنا
I'm home.	لقد عدت إلى البيت
I'm poor.	أنا فقير.
I'm rich.	أنا ثري.
It hurts.	هذا مؤلم
It's hot.	الجو حار
It's new.	إنه جديد
Let's go!	هيا بنا!
Let's go!	هيا لنذهب!
Let's go!	لنذهب.
Let's go.	هيا بنا.
Let's go.	هيا بنا نذهب.
Look out!	اِنتبه!
Look out!	إحذر!
Look out!	انتبه
Speak up!	تكلم!
Stand up!	قف!
Terrific!	رائع!
Terrific!	ممتاز!
Tom died.	توم مات.
Tom died.	توفي توم.
Tom left.	لقد غادر توم.
Tom lied.	لقد كذِبَ توم.
Tom lost.	لقد خَسِرَ توم.
Tom quit.	توم استقال.
Try some.	هاك، جرب.
Who am I?	من أنا؟
Who died?	من مات؟
Who died?	من توفي؟
After you.	من بعدك
Birds fly.	العصافير تطير.
Birds fly.	تحلق الطيور.
Bless you.	يُباركك.
Calm down.	اِهدأ.
Can we go?	هل نستطيع أن نذهب؟
Come here.	تعال هنا.
Come here.	تعال إلى هنا.
Come home.	تعال إلى منزلي.
Did I win?	هل أنا فُزت؟
Do it now.	افعل ذلك الآن.
Don't lie.	إياك و الكذب.
Excuse me.	عفواً.
Fantastic!	رائع!
Forget it!	انسَ الأمر.
Forget it!	انسَ ذلك
Forget it.	انسَ الأمر.
Forget it.	انسَ ذلك
Go inside.	أُدخُلْ.
Go to bed.	اذهب إلى النوم
Good luck.	بالتوفيق.
Hands off.	لا تلمسني.
He is ill.	إنه مريض.
He is ill.	هو مريض
How's Tom?	كيف توم؟
How's Tom?	كيف حال توم؟
I am Thai.	أنا تايلاندي.
I am cold.	أشعر بالبرد.
I am here.	أنا هنا
I am okay.	أنا بخير.
I am sure.	أنا متأكد.
I hope so.	آمل ذلك.
I laughed.	ضحكت.
I like it.	هذا يعجبني.
I love it.	أنا أحبه.
I see Tom.	أنا أرى توم
I'm a man.	أنا رجلٌ.
I'm alone.	أنا لوحدي.
I'm bored.	مللت.
I'm broke.	لقد كُسِرت
I'm happy.	أنا سعيد
I'm lucky.	انا محظوظ.
I'm needy.	أنا مسكين.
I'm ready.	أنا مستعد.
I'm ready.	أنا مستعدة.
I'm sorry.	أنا آسف.
I'm sorry.	أنا متأسف.
I'm sorry.	أتأسف.
I'm sorry.	أنا آسف
I'm tired.	أنا متعب.
Is it new?	هل هذا جديد؟
It is new.	إنه جديد
It's cold.	الجو بارد.
It's late.	إنها ساعة متأخرة.
Let me go.	دَعني أذهب.
Listen up.	اسمع
Look back!	انظر خلفك!
Of course!	طبعاً!
Of course.	بالطبع.
Of course.	طبعاً.
Of course.	بالتأكيد.
Of course.	طبعاً!
Pardon me?	المعذرة؟
Seriously?	أأنت جاد؟
She walks.	هي تمشي
Stay thin.	حافظي على جسم نحيف.
Stay thin.	إبقي نحيفة.
Stay thin.	حافظ على نحافتك.
Stop that!	أوقف ذلك
Stop that.	أوقف ذلك
Stop them.	أوقفهم.
Take care!	انتبه!
Take care.	مع السلامة.
Take care.	اعتن بنفسك.
Thank you.	شكراً لك
Then what?	ثم ماذا؟
Then what?	ماذا بعد ذلك؟
Tom moved.	لقد تحرك توم.
Tom waved.	لَوَحَ توم.
Watch out!	انتبه
We're hot.	نشعر بالحرارة
What's up?	ما الجديد؟
Who cares?	من يهمّه؟
Who is it?	مَن؟
Who knows?	من يدري؟
Who knows?	من يعلم؟
Wonderful!	مذهل.
You idiot!	يا أحمق!
You idiot!	يا غبي!
You tried.	لقد حاولت وسعك.
All aboard!	ليركب الجميع.
All aboard!	ليركب الكل.
Am I clear?	هل هذا واضح؟
Am I wrong?	هل أنا مخطئ؟
Be careful.	كن حذرا.
Be serious.	كُن جدياً.
Birds sing.	الطيور تغرد.
Bottoms up!	الى القاع .
Bottoms up!	برشفة واحدة .
Bring food.	أحضر الطعام.
Bring help.	أحضِر المُساعدة.
Bring wine.	أحضر الخمر.
